idx,Instagram Tag,Number of Posts,Related Topic
0,#family,392927869,"#momlife, #mumblogger, #family"
1,#instamum,2578064,"#mumblogger, #instamum"
2,#mumblogger,1248771,#mumblogger
3,#mumbloggersuk,62933,"#mumblogger, #mumbloggersuk"
4,#mumbloggersaus,30,"#mumblogger, #mumbloggersaus"
5,#mumbloggersaustralia,22,"#mumblogger, #mumbloggersaustralia"
6,#mumbloggersunite,17,"#mumblogger, #mumbloggersunite"
7,#mumbloggersurrey,9,"#mumblogger, #mumbloggersurrey"
8,#mumbloggersus,8,"#mumblogger, #mumbloggersus"
9,#mumbloggersunited,5,"#mumblogger, #mumbloggersunited"
10,#mumbloggersu,3,"#mumblogger, #mumbloggersu"
11,#mumbloggersusa,3,"#mumblogger, #mumbloggersusa"
12,#mumbloggersuae,37,"#mumblogger, #mumbloggersuae, #momlife "
13,#mummyblogger,2457426,"#mumblogger, #momlife , #mummyblogger"
14,#mumbloggersaustria,44,"#mumblogger, #mumbloggersaustria, #momlife "
15,#firsttimemum,711981,"#mumblogger, #firsttimemum, #momlife "
16,#mumbloggersussex,5,"#mumblogger, #mumbloggersussex, #momlife "
17,#mumbloggers,195216,"#mumblogger, #mumbloggers, #momlife "
18,#mumlife,12557643,"#mumblogger, #mumlife, #momlife "
19,#mummylife,1084739,"#mumblogger, #mummylife, #momlife "
20,#mum,14986841,"#mumblogger, #mum, #momlife "
21,#mumssupportingmums,887475,"#mumblogger, #momlife , #mumssupportingmums"
22,#momlife,61439035,"#momlife, #kidlearning"
23,#children,34635076,"#children, #kidlearning"
24,#motherhood,25462096,"#motherhood, #kidlearning"
25,#instakids,24561236,"#instakids, #kidlearning"
26,#learning,17477954,"#learning, #kidlearning"
27,#parenting,13882171,"#parenting, #kidlearning"
28,#momsofinstagram,8528150,"#momlife, #momsofinstagram, #kidlearning"
29,#preschool,5728874,"#preschool, #kidlearning"
30,#familyiseverything,4788131,"#familyiseverything, #kidlearning"
31,#kidsroom,4639688,"#kidsroom, #kidlearning"
